timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-22T12:36:10,C_beadsort_meta-llama-llama-4-maverick-17b-128e-instruct.log,695b52cb-f7f8-4aa8-893a-d80cac704b0d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.012088550000044,5.348515988902425e-09,4.424447918801622e-07,15.099731984528002,0,2.86547327041626,4.674253738928824e-08,0.0,7.641039184738933e-09,5.4383576574027184e-08,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:15,C_beadsort_meta-llama-4-scout-17b-16e-instruct.log,2b289189-4014-4982-bc58-93f36e55c258,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0064604309991409,2.163323769211001e-09,3.348574993678687e-07,12.952377444846883,0,2.86547327041626,1.897168184356035e-08,0.0,3.024940042100782e-09,2.1996621885661134e-08,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:20,C_bellman-ford_llama-3.3-70b-versatile.log,4004b44b-1c78-4c08-8ba3-f1d08f2daf4e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0108458989998325,4.036236801769939e-09,3.721440520359121e-07,13.105583802092776,0,2.86547327041626,3.456947209740102e-08,0.0,6.470882579561787e-09,4.1040354676962816e-08,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:25,C_bellman-ford_llama-3.1-8b-instant.log,74b4dc91-fc2b-47f2-afbf-c9d535d93833,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0076094659998489,3.331209118199504e-09,4.377717330316803e-07,17.033834641920823,0,2.86547327041626,3.017835747964881e-08,0.0,3.693293374456042e-09,3.387165085410485e-08,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:30,C_bellman-ford_deepseek-r1-distill-llama-70b.log,30d43089-06f6-4a31-8684-c81fab802919,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.079499367999233,4.905951426782927e-08,6.171057142026908e-07,19.894709219540594,0,2.86547327041626,4.368245161215367e-07,0.0,6.201139582206427e-08,4.98835911943601e-07,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:34,C_bellman-ford_meta-llama-llama-4-maverick-17b-128e-instruct.log,25adc6a3-9f9e-4a93-93f0-717a98b0c1de,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.016713659000743,8.8614857739718e-09,5.301942425400585e-07,17.150327595802764,0,2.86547327041626,7.75822842843943e-08,0.0,1.2521081050658782e-08,9.010336533505306e-08,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:40,Java_avltree_gemma9bit.log,6d02e5a6-a063-4f15-9c9a-ee669730834c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1081821190000482,6.777410662570195e-08,6.264815965166269e-07,20.200656358325865,0,2.86547327041626,6.039249275807679e-07,0.0,8.520049058433919e-08,6.89125418165107e-07,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:48,Java_avltree_mistral-saba-24b.log,386ab0dd-8e49-472f-86da-a9df2c761ba4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0932814780007902,6.249768972449787e-08,6.699903460359881e-07,21.957163204692915,0,2.86547327041626,5.631671172040553e-07,0.0,7.230782610437851e-08,6.354749433084339e-07,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:36:55,Java_avltree_deepseek_r1_distill_llama_70b.log,71239366-b6e4-40a7-8a36-87c65c64f264,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1613762580000184,1.0648385018632521e-07,6.598483042425799e-07,21.42373873446009,0,2.86547327041626,9.560290981577846e-07,0.0,1.266960227020724e-07,1.082725120859857e-06,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:37:01,Java_avltree_llama-guard-3-8b.log,5a496493-8a11-49fb-89d5-a3aac3ce7aa1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1149588499993115,7.324890590653588e-08,6.371750057257408e-07,20.54889183270733,0,2.86547327041626,6.540752454861631e-07,0.0,9.071779460144293e-08,7.447930400876061e-07,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
2025-06-22T12:37:06,Java_beadsort_gemma29bit.log,05aa9d54-6aac-48c5-8bec-c6300deef39f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0948907309993956,5.86235167755064e-08,6.17800244113198e-07,19.88932871376436,0,2.86547327041626,5.213920837854324e-07,0.0,7.469036604076025e-08,5.960824498261927e-07,Brazil,BRA,pernambuco,,,Linux-6.8.0-52-generic-x86_64-with-glibc2.35,3.10.12,2.8.1,4,Intel(R) Core(TM) i5-7300HQ CPU @ 2.50GHz,0,,-36.4253,-8.2767,7.641262054443359,machine,N,1.0
